"Star_number":"Star_name":"DISTANCE (LIGHTYEARS)":"TEMPERATURE":"Relative Mass":"radius":"Luminosity":"Star Type"
1500:"Listowel":164,652:2843:0,2:0,6:0,06:"M2V"
2419:"Strandfontein":451,661:2982:0,2:0,37:0,04:"M3V"
675:"Defiance":438,118:2603:0,4:0,41:0,07:"M1V"
240:"Baker 3":340,52:2979:0,1:0,62:0,03:"M4V"
2305:"Sherwood":576,109:2616:0,1:0,19:0,06:"M2V"
1878:"Nis":312,667:4591:0,8:0,76:0,48:"K3V"
666:"David":141,399:3062:0,4:0,61:0,01:"M3V"
1185:"Ilzra":397,87:2769:0,3:0,2:0,04:"M4V"
1174:"Igualada":311,943:2834:0,2:0,36:0,07:"M2V"
717:"Dijonne":537,835:2541:0,2:0,53:0,05:"M5V"
1220:"Ito":275,684:2703:0,2:0,08:0,01:"M2V"
1928:"Okains":361,02:2800:NA:0,67:0,04:"M2V"
3080:"Mauna Loa":1033,386:2443:0,3:0,23:0,04:"M3V"
2549:"Timkovichi":315,97:3292:0,3:0,55:0,04:"M2V"
2076:"Proserpina":161,889:2608:0,1:0,1:0,02:"M3V"
1531:"Luderitz":626,416:2933:0,4:0,44:0,08:"M2V"
2030:"Pilpala":376,129:2825:0,4:0,27:0,06:"M3V"
66:"Alfirk":743,454:3662:0,2:0,53:0,03:"M0V"
2948:"Huntress":1758,559:4639:0,5:0,95:0,43:"K2V"
898:"Frankson":587,803:2785:0,4:0,34:0,08:"M5V"
980:"Gorfynt":541,875:2533:0,4:0,49:0,04:"M2V"
19:"Achton":660,516:2567:0,1:0,53:0,02:"M4V"
2787:"Xi Ursae Majoris":24,758:2726:0,1:0,63:0,01:"M2V"
497:"Cavanaugh":311,59:3702:0,6:NA:0,25:"K6V"
3052:"Heidrunn":1897,849:2437:0,2:0,44:0,07:"M5V"
1649:"Mearra":559,397:5309:1:1,11:1,14:"G2V"
1386:"Kohlman":199,366:3357:0,4:0,49:0,02:"M2V"
2348:"Skandia":252,494:2774:0,3:0,55:0,01:"M2V"
3000:"Lübeck":1078,732:2637:0,4:0,08:0,02:"M3V"
413:"Bucklands":464,408:3189:0,4:NA:0,07:"M2V"
1014:"Gruyeres":322,429:3384:0,3:0,09:0,06:"M2V"
25:"Addasar":517,358:3458:0,3:0,6:0,05:"M1V"
1368:"Kitopler":439,384:2439:0,4:0,53:0,03:"M5V"
818:"Eromanga":307,609:2838:0,1:0,2:0,05:"M3V"
418:"Burnt Rock":380,265:2962:0,1:0,39:0,07:"M5V"
596:"Cordiagr":192,582:2477:0,3:0,13:0,04:"M5V"
2952:"Lum":1757,919:3488:0,3:0,66:0,02:"M1V"
2839:"Zinal":527,101:2847:0,3:0,17:0,02:"M4V"
1421:"Kumqwat":307,86:2785:NA:0,46:0,05:"M1V"
1593:"Manotick":395,844:2660:0,2:0,32:0,01:"M3V"
2890:"Charleston":565,271:4054:0,6:0,75:0,3:"K5V"
453:"Camlann":279,953:2768:0,3:0,69:0,02:"M6V"
1633:"Maxie's Planet":401,267:2714:0,4:0,2:0,07:"M3V"
430:"Caesaera":426,318:3345:0,2:0,59:0,06:"M2V"
1944:"Orbisonia":215,934:2823:0,1:0,58:0,07:"M0V"
3116:"Melidron":1143,545:3949:0,7:0,91:0,26:"K4V"
3050:"Fröislandis":1466,288:3122:0,3:0,61:0,06:"M0V"
1370:"Kitzingen":228,012:2792:0,1:0,45:0,06:"M5V"
1158:"Huron":323,203:2655:0,2:0,32:0,05:"M2V"
2228:"Santa-Ana":698,225:2969:0,4:0,23:0,03:"M0V"
1881:"No Return":186,091:2969:0,3:0,5:0,08:"M3V"
2970:"Zara":1800,775:2598:0,4:0,47:0,04:"M5V"
305:"Beowulf":522,195:4330:0,5:0,87:0,48:"K5V"
629:"Cryfder":517,129:2775:0,4:0,6:0,06:"M3V"
434:"Calafell":388,99:2427:0,2:0,47:0,04:"M4V"
2221:"Salur":211,291:5499:0,8:0,96:0,75:"G4V"
2439:"Sunnywood":405,398:3957:0,5:0,93:0,3:"K6V"
1242:"Java":241,831:2765:0,1:0,2:0,01:"M6V"
2572:"Tottori":505,695:2581:0,4:0,26:0,02:"M6V"
205:"Atsugi":303,437:3018:0,3:0,14:0,07:"M2V"
2015:"Perrot":271,523:NA:0,9:1,14:0,96:"G2V"
83:"Almunge":429,394:5772:0,9:1,11:1,31:"G2V"
765:"Eaton":138,705:2698:0,3:0,58:0,07:"M5V"
2389:"St. Cyr":521,765:3754:0,6:0,87:0,38:"K6V"
1563:"Mahone":385,404:4524:0,5:0,76:0,42:"K4V"
1170:"Ictus":578,076:5469:0,9:1,13:0,71:"G2V"
331:"Birqash":383,362:4539:0,5:0,82:0,19:"K0V"
566:"Clermont":410,315:4286:0,7:0,82:0,31:"K5V"
57:"Alcor":80,104:4238:0,6:0,75:0,15:"K5V"
3082:"New Sierra":829,763:2721:0,2:0,19:0,03:"M2V"
